index,worker,order_in_worker,source,c3,d4,run_name,target_events,seed,status,event_count,cross_section_pb,lhe_file,log_file,updated_at,error
22,11,2,refinement_36,7.5,50.0,run_gg_4h_5_7.5_50.0,40000,767148470,complete,40000,0.00044604,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_7.5_50.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_11/run_gg_4h_5_7.5_50.0.log,2026-07-26T22:45:51+00:00,
23,1,3,refinement_36,10.5,-50.0,run_gg_4h_5_10.5_-50.0,40000,47873149,complete,40000,0.00029182,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_10.5_-50.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_01/run_gg_4h_5_10.5_-50.0.log,2026-07-26T22:45:52+00:00,
24,2,3,refinement_36,10.5,50.0,run_gg_4h_5_10.5_50.0,40000,709760991,complete,40000,0.00155896,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_10.5_50.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_02/run_gg_4h_5_10.5_50.0.log,2026-07-26T22:45:52+00:00,
25,3,3,refinement_36,-3.0,-350.0,run_gg_4h_5_-3.0_-350.0,40000,591978940,complete,40000,0.0023788,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-3.0_-350.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_03/run_gg_4h_5_-3.0_-350.0.log,2026-07-26T22:45:52+00:00,
26,4,3,refinement_36,-3.0,350.0,run_gg_4h_5_-3.0_350.0,40000,71750864,complete,40000,0.00247775,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-3.0_350.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_04/run_gg_4h_5_-3.0_350.0.log,2026-07-26T22:45:53+00:00,
27,5,3,refinement_36,-1.5,-350.0,run_gg_4h_5_-1.5_-350.0,40000,309140993,complete,40000,0.00104798,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-1.5_-350.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_05/run_gg_4h_5_-1.5_-350.0.log,2026-07-26T22:45:53+00:00,
28,6,3,refinement_36,-1.5,350.0,run_gg_4h_5_-1.5_350.0,40000,415528814,complete,40000,0.00102943,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_-1.5_350.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_06/run_gg_4h_5_-1.5_350.0.log,2026-07-26T22:45:53+00:00,
29,7,3,refinement_36,0.0,-350.0,run_gg_4h_5_0.0_-350.0,40000,475577515,complete,40000,0.00064069,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_0.0_-350.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_07/run_gg_4h_5_0.0_-350.0.log,2026-07-26T22:45:54+00:00,
30,8,3,refinement_36,0.0,350.0,run_gg_4h_5_0.0_350.0,40000,224647253,complete,40000,0.0006078,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_0.0_350.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_08/run_gg_4h_5_0.0_350.0.log,2026-07-26T22:45:54+00:00,
31,9,3,refinement_36,1.5,-350.0,run_gg_4h_5_1.5_-350.0,40000,574905000,complete,40000,0.00120906,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_5_1.5_-350.0/unweighted_events.lhe.gz,/home/apapaefs/Projects/QuadrupleHiggsAnalysis/MadGraphCards/c3d4_refinement_40k/logs/worker_09/run_gg_4h_5_1.5_-350.0.log,2026-07-26T22:45:54+00:00,
