index,c3,d4,run_name,target_events,herwig_generated_events,mg5_xsec_pb,mg5_xsec_fb,herwig_total_xsec_nb,analysis_xsec_fb,relative_difference,root_bytes,status
79,-3.0,-100.0,run_gg_4h_5_-3.0_-100.0,40000,40000,0.00018597,0.18597,1.8596e-07,0.18596,5.37721137817e-05,36804217,ok
80,-12.0,200.0,run_gg_4h_5_-12.0_200.0,40000,40000,0.0201387,20.1387,2.0137e-05,20.137,8.44145848542e-05,36252470,ok
81,0.866025,-70.7107,run_gg_4h_5_0.866025_-70.7107,40000,40000,3.8668e-05,0.038668,3.8663e-08,0.038663,0.000129305886004,37252092,ok
82,0.0,-300.0,run_gg_4h_5_0.0_-300.0,40000,40000,0.00047199,0.47199,4.7198e-07,0.47198,2.11868895528e-05,37512413,ok
83,0.5,-100.0,run_gg_4h_5_0.5_-100.0,40000,40000,6.2983e-05,0.062983,6.2981e-08,0.062981,3.17546004478e-05,37355854,ok
84,-0.965926,0.0,run_gg_4h_5_-0.965926_0.0,40000,40000,1.88147e-07,0.000188147,1.8812e-10,0.00018812,0.000143504812726,36073740,ok
85,-21.2132,700.0,run_gg_4h_5_-21.2132_700.0,40000,40000,0.68945,689.45,0.00068945,689.45,1.6489497095e-16,36291447,ok
86,-6.0,200.0,run_gg_4h_5_-6.0_200.0,40000,40000,0.0032304,3.2304,3.2302e-06,3.2302,6.19118375433e-05,36521714,ok
87,9.0,-100.0,run_gg_4h_5_9.0_-100.0,40000,40000,0.00107617,1.07617,1.07606e-06,1.07606,0.000102214334167,37173362,ok
88,-6.0,300.0,run_gg_4h_5_-6.0_300.0,40000,40000,0.0067924,6.7924,6.7917e-06,6.7917,0.000103056357105,36549723,ok
89,30.0,0.0,run_gg_4h_5_30.0_0.0,40000,40000,0.252814,252.814,0.00025278,252.78,0.000134486223073,35423715,ok
90,-9.0,200.0,run_gg_4h_5_-9.0_200.0,40000,40000,0.0087747,8.7747,8.7745e-06,8.7745,2.27928020331e-05,36401889,ok
91,0.258819,0.0,run_gg_4h_5_0.258819_0.0,40000,40000,1.30116e-07,0.000130116,1.3011e-10,0.00013011,4.61126994373e-05,37327908,ok
92,-12.0,-200.0,run_gg_4h_5_-12.0_-200.0,40000,40000,0.0042422,4.2422,4.2418e-06,4.2418,9.42906982226e-05,37277447,ok
93,-0.707107,0.0,run_gg_4h_5_-0.707107_0.0,40000,40000,1.5544e-07,0.00015544,1.55436e-10,0.000155436,2.57334019556e-05,36281451,ok
94,12.0,-200.0,run_gg_4h_5_12.0_-200.0,40000,40000,0.0067182,6.7182,6.7175e-06,6.7175,0.000104194575928,37162369,ok
95,0.0,-100.0,run_gg_4h_5_0.0_-100.0,40000,40000,5.5538e-05,0.055538,5.5538e-08,0.055538,0,37406908,ok
96,-0.866025,100.0,run_gg_4h_5_-0.866025_100.0,40000,40000,5.7057e-05,0.057057,5.7053e-08,0.057053,7.01053332632e-05,37207584,ok
97,0.965926,0.0,run_gg_4h_5_0.965926_0.0,40000,40000,2.08783e-07,0.000208783,2.0877e-10,0.00020877,6.22656059164e-05,37704250,ok
98,3.0,-100.0,run_gg_4h_5_3.0_-100.0,40000,40000,0.000240602,0.240602,2.4058e-07,0.24058,9.14373114106e-05,36807595,ok
99,-12.0,-300.0,run_gg_4h_5_-12.0_-300.0,40000,40000,0.0129573,12.9573,1.2956e-05,12.956,0.000100329543964,37113765,ok
100,0.0,-200.0,run_gg_4h_5_0.0_-200.0,40000,40000,0.000212381,0.212381,2.1236e-07,0.21236,9.88789015966e-05,37371430,ok
101,21.2132,700.0,run_gg_4h_5_21.2132_700.0,40000,40000,0.61807,618.07,0.00061798,617.98,0.000145614574401,36459751,ok
102,0.707107,0.0,run_gg_4h_5_0.707107_0.0,40000,40000,1.66874e-07,0.000166874,1.6686e-10,0.00016686,8.38956338315e-05,37578625,ok
103,0.866025,-100.0,run_gg_4h_5_0.866025_-100.0,40000,40000,7.4277e-05,0.074277,7.4273e-08,0.074273,5.38524711551e-05,37250412,ok
104,3.0,-200.0,run_gg_4h_5_3.0_-200.0,40000,40000,0.00091894,0.91894,9.1892e-07,0.91892,2.17642065859e-05,36822964,ok
105,-6.0,-300.0,run_gg_4h_5_-6.0_-300.0,40000,40000,0.0051979,5.1979,5.1975e-06,5.1975,7.69541545624e-05,36686411,ok
106,0.0,700.0,run_gg_4h_5_0.0_700.0,40000,40000,0.0024609,2.4609,2.4606e-06,2.4606,0.000121906619529,37432897,ok
107,-3.0,-200.0,run_gg_4h_5_-3.0_-200.0,40000,40000,0.00076345,0.76345,7.6343e-07,0.76343,2.61968694741e-05,36762317,ok
108,-3.0,300.0,run_gg_4h_5_-3.0_300.0,40000,40000,0.00182442,1.82442,1.8243e-06,1.8243,6.57743282796e-05,36698607,ok
