index,worker,order_in_worker,source,c3,d4,run_group,run_name,target_events,seed
78,1,8,signal_57,0.866025,0.0,5,run_gg_4h_5_0.866025_0.0,40000,64372549
79,2,8,bridge_60,-3.0,-100.0,5,run_gg_4h_5_-3.0_-100.0,40000,559686769
80,3,8,bridge_60,-12.0,200.0,5,run_gg_4h_5_-12.0_200.0,40000,12771661
81,4,8,signal_57,0.866025,-70.7107,5,run_gg_4h_5_0.866025_-70.7107,40000,237581535
82,5,8,bridge_60,0.0,-300.0,5,run_gg_4h_5_0.0_-300.0,40000,493942767
83,6,8,signal_57,0.5,-100.0,5,run_gg_4h_5_0.5_-100.0,40000,458504241
84,7,8,signal_57,-0.965926,0.0,5,run_gg_4h_5_-0.965926_0.0,40000,208050169
85,8,8,signal_57,-21.2132,700.0,5,run_gg_4h_5_-21.2132_700.0,40000,39335114
86,9,8,bridge_60,-6.0,200.0,5,run_gg_4h_5_-6.0_200.0,40000,170146534
87,10,8,bridge_60,9.0,-100.0,5,run_gg_4h_5_9.0_-100.0,40000,149341229
88,11,8,bridge_60,-6.0,300.0,5,run_gg_4h_5_-6.0_300.0,40000,64718776
89,1,9,signal_57,30.0,0.0,5,run_gg_4h_5_30.0_0.0,40000,498721639
90,2,9,bridge_60,-9.0,200.0,5,run_gg_4h_5_-9.0_200.0,40000,220463390
91,3,9,signal_57,0.258819,0.0,5,run_gg_4h_5_0.258819_0.0,40000,561711552
92,4,9,bridge_60,-12.0,-200.0,5,run_gg_4h_5_-12.0_-200.0,40000,130041879
93,5,9,signal_57,-0.707107,0.0,5,run_gg_4h_5_-0.707107_0.0,40000,146358220
94,6,9,bridge_60,12.0,-200.0,5,run_gg_4h_5_12.0_-200.0,40000,330661102
95,7,9,signal_57,0.0,-100.0,5,run_gg_4h_5_0.0_-100.0,40000,444727811
96,8,9,signal_57,-0.866025,100.0,5,run_gg_4h_5_-0.866025_100.0,40000,685803756
97,9,9,signal_57,0.965926,0.0,5,run_gg_4h_5_0.965926_0.0,40000,87456427
98,10,9,bridge_60,3.0,-100.0,5,run_gg_4h_5_3.0_-100.0,40000,636370937
99,11,9,bridge_60,-12.0,-300.0,5,run_gg_4h_5_-12.0_-300.0,40000,460393309
100,1,10,bridge_60,0.0,-200.0,5,run_gg_4h_5_0.0_-200.0,40000,45514791
101,2,10,signal_57,21.2132,700.0,5,run_gg_4h_5_21.2132_700.0,40000,189335385
102,3,10,signal_57,0.707107,0.0,5,run_gg_4h_5_0.707107_0.0,40000,796322513
103,4,10,signal_57,0.866025,-100.0,5,run_gg_4h_5_0.866025_-100.0,40000,705184098
104,5,10,bridge_60,3.0,-200.0,5,run_gg_4h_5_3.0_-200.0,40000,666558968
105,6,10,bridge_60,-6.0,-300.0,5,run_gg_4h_5_-6.0_-300.0,40000,785169459
106,7,10,signal_57,0.0,700.0,5,run_gg_4h_5_0.0_700.0,40000,484294437
107,8,10,bridge_60,-3.0,-200.0,5,run_gg_4h_5_-3.0_-200.0,40000,743327470
108,9,10,bridge_60,-3.0,300.0,5,run_gg_4h_5_-3.0_300.0,40000,101925976
109,10,10,signal_57,0.5,70.7107,5,run_gg_4h_5_0.5_70.7107,40000,558405449
110,11,10,signal_57,30.0,-700.0,5,run_gg_4h_5_30.0_-700.0,40000,366356411
111,1,11,bridge_60,6.0,200.0,5,run_gg_4h_5_6.0_200.0,40000,835248196
112,2,11,bridge_60,9.0,-300.0,5,run_gg_4h_5_9.0_-300.0,40000,473292992
113,3,11,bridge_60,3.0,200.0,5,run_gg_4h_5_3.0_200.0,40000,893397772
114,4,11,bridge_60,12.0,-300.0,5,run_gg_4h_5_12.0_-300.0,40000,884586536
115,5,11,signal_57,0.0,0.0,5,run_gg_4h_5_0.0_0.0,40000,875559765
116,6,11,signal_57,0.5,0.0,5,run_gg_4h_5_0.5_0.0,40000,873935250
