index,c3,d4,run_name,workdir,root_file,root_bytes,merge_summary,merged_events,zero_weight_events,merged_xsec_pb,analysis_xsec_fb,herwig_total_xsec_nb,herwig_total_xsec_fb,relative_difference,status
81,0.866025,-70.7107,run_gg_hhhg_4_0.866025_-70.7107,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/events/run_gg_hhhg_4_0.866025_-70.7107_hhhbb_stage2.root,8176727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/run_gg_hhhg_4_0.866025_-70.7107/merge_summary.json,10000,0,4.3985886158e-05,0.043985886158,4.4e-08,0.044,0.000320872062144,ok
82,0.0,-300.0,run_gg_hhhg_4_0.0_-300.0,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/events/run_gg_hhhg_4_0.0_-300.0_hhhbb_stage2.root,8147979,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/run_gg_hhhg_4_0.0_-300.0/merge_summary.json,10000,1,0.000690891118566,0.690891118566,6.91e-07,0.691,0.000157595648398,ok
83,0.5,-100.0,run_gg_hhhg_4_0.5_-100.0,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/events/run_gg_hhhg_4_0.5_-100.0_hhhbb_stage2.root,8181828,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/run_gg_hhhg_4_0.5_-100.0/merge_summary.json,10000,0,8.19968400236e-05,0.0819968400236,8.2e-08,0.082,3.85377829143e-05,ok
84,-0.965926,0.0,run_gg_hhhg_4_-0.965926_0.0,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/events/run_gg_hhhg_4_-0.965926_0.0_hhhbb_stage2.root,8029521,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/run_gg_hhhg_4_-0.965926_0.0/merge_summary.json,10000,1,1.06552436354e-06,0.00106552436354,1.065e-09,0.001065,0.000492117831729,ok
85,-21.2132,700.0,run_gg_hhhg_4_-21.2132_700.0,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/events/run_gg_hhhg_4_-21.2132_700.0_hhhbb_stage2.root,8025154,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/run_gg_hhhg_4_-21.2132_700.0/merge_summary.json,10000,1,0.0156430553963,15.6430553963,1.56e-05,15.6,0.00275236488372,ok
86,-6.0,200.0,run_gg_hhhg_4_-6.0_200.0,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/events/run_gg_hhhg_4_-6.0_200.0_hhhbb_stage2.root,8057906,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/run_gg_hhhg_4_-6.0_200.0/merge_summary.json,10000,0,0.000561441888102,0.561441888102,5.61e-07,0.561,0.000787059374989,ok
87,9.0,-100.0,run_gg_hhhg_4_9.0_-100.0,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/events/run_gg_hhhg_4_9.0_-100.0_hhhbb_stage2.root,8403429,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/run_gg_hhhg_4_9.0_-100.0/merge_summary.json,10000,0,3.30194636487e-05,0.0330194636487,3.3e-08,0.033,0.000589459868744,ok
88,-6.0,300.0,run_gg_hhhg_4_-6.0_300.0,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/events/run_gg_hhhg_4_-6.0_300.0_hhhbb_stage2.root,8090258,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/run_gg_hhhg_4_-6.0_300.0/merge_summary.json,10000,0,0.00106818682845,1.06818682845,1.068e-06,1.068,0.000174902408392,ok
89,30.0,0.0,run_gg_hhhg_4_30.0_0.0,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/events/run_gg_hhhg_4_30.0_0.0_hhhbb_stage2.root,7873809,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/run_gg_hhhg_4_30.0_0.0/merge_summary.json,10000,0,0.0105552340714,10.5552340714,1.055e-05,10.55,0.000495874501935,ok
90,-9.0,200.0,run_gg_hhhg_4_-9.0_200.0,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/events/run_gg_hhhg_4_-9.0_200.0_hhhbb_stage2.root,8027090,/mnt/ssd2/Projects/4H/QuadrupleHiggsAnalysis_runs/HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_153_20260727/run_gg_hhhg_4_-9.0_200.0/merge_summary.json,10000,0,0.000939149671191,0.939149671191,9.39e-07,0.939,0.000159368837215,ok
