file,run_group,c3,d4,entries,selected_entries,threshold,xsec_fb,rate_factor,effective_xsec_fb,generated_events,expected_preselected_events,expected_selected_events,expected_selected_error,raw_sigma_eff_fb,effective_sigma_eff_fb,weighted_efficiency,raw_weight_efficiency,mean_score,raw_xsec_fb,analysis_efficiency,xgboost_efficiency,final_efficiency
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.866025_100.0_var.smearCMS.root,4,-0.866025,100.0,963,112,0.904,0.05701,0.06269990265972783,0.0035745214506310834,10000,1.0326792470873203,0.12010392074120445,0.011348753777322829,0.0006385120000000003,4.003464024706815e-05,0.11630321910695744,0.11630321910695743,0.5889187861576789,0.05701,0.09630000000000002,0.11630321910695744,0.011200000000000005
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.866025_70.7107_var.smearCMS.root,4,-0.866025,70.7107,981,100,0.904,0.027796,0.06269990265972783,0.001742806494329795,10000,0.5129079512812589,0.052284194829893854,0.005228419482989386,0.00027796,1.7428064943297952e-05,0.10193679918450557,0.1019367991845056,0.6006334197145453,0.027796,0.09810000000000003,0.10193679918450557,0.01
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.965926_0.0_var.smearCMS.root,4,-0.965926,0.0,850,73,0.904,0.000187428,0.06269990265972783,1.1751717355707469e-05,10000,0.002996687925705406,0.00025736261008999363,3.0122015130323295e-05,1.3682244000000003e-06,8.578753669666455e-08,0.08588235294117645,0.08588235294117647,0.5679113820660859,0.000187428,0.08500000000000003,0.08588235294117645,0.007300000000000001
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-1.0_-100.0_var.smearCMS.root,4,-1.0,-100.0,944,98,0.904,0.068838,0.06269990265972783,0.004316135899290344,10000,1.2223296866790259,0.12689439543913617,0.012818269644225782,0.0006746124000000004,4.229813181304539e-05,0.1038135593220339,0.1038135593220339,0.5930502447679489,0.068838,0.09440000000000004,0.1038135593220339,0.009800000000000005
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-1.0_-70.7107_var.smearCMS.root,4,-1.0,-70.7107,920,98,0.904,0.03554,0.06269990265972783,0.002228354540526727,10000,0.6150258531853767,0.06551362349148576,0.0066178753472759845,0.00034829199999999994,2.183787449716192e-05,0.10652173913043475,0.10652173913043478,0.5979830259685,0.03554,0.092,0.10652173913043475,0.009799999999999998
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-1.0_0.0_var.smearCMS.root,4,-1.0,0.0,869,77,0.904,0.00019359,0.06269990265972783,1.213807415589671e-05,10000,0.0031643959324422722,0.0002803895130012139,3.19533505348555e-05,1.4906429999999992e-06,9.346317100040464e-08,0.08860759493670883,0.08860759493670886,0.5781505491738063,0.00019359,0.08689999999999999,0.08860759493670883,0.007699999999999997
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-1.0_100.0_var.smearCMS.root,4,-1.0,100.0,912,101,0.904,0.060899999999999996,0.06269990265972783,0.0038184240719774244,10000,1.0447208260930232,0.11569824938091593,0.011512406097620121,0.0006150899999999997,3.856608312697198e-05,0.1107456140350877,0.11074561403508772,0.5891274477716683,0.060899999999999996,0.09119999999999999,0.1107456140350877,0.010099999999999996
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-1.0_70.7107_var.smearCMS.root,4,-1.0,70.7107,977,103,0.904,0.029663,0.06269990265972783,0.0018598672125955066,10000,0.5451270800117429,0.057469896869201155,0.005662677199830635,0.0003055289,1.9156632289733718e-05,0.105424769703173,0.10542476970317298,0.5910531624097343,0.029663,0.0977,0.105424769703173,0.0103
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-15.0_0.0_var.smearCMS.root,4,-15.0,0.0,717,58,0.904,6.9702,0.06269990265972783,0.4370308615188349,10000,94.00533831270141,7.6043369904277265,0.998498364476303,0.04042715999999999,0.002534778996809242,0.08089260808926078,0.08089260808926081,0.5538352181783629,6.9702,0.07170000000000001,0.08089260808926078,0.005799999999999999
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-21.2132_-700.0_var.smearCMS.root,4,-21.2132,-700.0,932,95,0.904,180.35999999999999,0.06269990265972783,11.30855444370851,10000,3161.8718224609006,322.29380164569255,33.066646349970725,1.7134199999999997,0.10743126721523086,0.10193133047210297,0.10193133047210301,0.5926122097893071,180.35999999999999,0.09320000000000002,0.10193133047210297,0.0095
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-21.2132_700.0_var.smearCMS.root,4,-21.2132,700.0,858,86,0.904,688.6,0.06269990265972783,43.175152971488586,10000,11113.284374861161,1113.9189466644054,120.11696914267584,5.9219599999999994,0.3713063155548018,0.10023310023310024,0.10023310023310024,0.572892385029119,688.6,0.08579999999999999,0.10023310023310024,0.008599999999999998
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-25.9808_0.0_var.smearCMS.root,4,-25.9808,0.0,782,70,0.904,157.77,0.06269990265972783,9.89216364262526,10000,2320.701590559886,207.7354364951305,24.82913368715481,1.1043900000000002,0.06924514549837683,0.0895140664961637,0.08951406649616368,0.5293175468436868,157.77,0.07819999999999999,0.0895140664961637,0.007000000000000001
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-30.0_-700.0_var.smearCMS.root,4,-30.0,-700.0,1035,136,0.904,142.528,0.06269990265972783,8.936491726285688,10000,2774.7806810117054,364.608862432456,31.26495201879293,1.9383807999999996,0.12153628747748534,0.13140096618357489,0.13140096618357489,0.6243377989562957,142.528,0.10349999999999997,0.13140096618357489,0.013599999999999998
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-30.0_0.0_var.smearCMS.root,4,-30.0,0.0,744,54,0.904,362.17999999999995,0.06269990265972783,22.708650745300222,10000,5068.570846351009,367.8801420738635,50.062146365752625,1.9557719999999992,0.12262671402462116,0.07258064516129031,0.07258064516129033,0.5562272182770914,362.17999999999995,0.0744,0.07258064516129031,0.0053999999999999986
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-30.0_700.0_var.smearCMS.root,4,-30.0,700.0,824,68,0.904,2124.1,0.06269990265972783,133.18086323952787,10000,32922.3093928113,2716.8896100863694,329.47125986850824,14.443880000000004,0.9056298700287898,0.08252427184466019,0.0825242718446602,0.5536964833792932,2124.1,0.08240000000000003,0.08252427184466019,0.006800000000000002
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_0.0_-100.0_var.smearCMS.root,4,0.0,-100.0,1013,111,0.904,0.0552,0.06269990265972783,0.0034610346268169763,10000,1.0518084230896791,0.11525245307300536,0.010939278736433265,0.0006127200000000003,3.841748435766845e-05,0.10957551826258642,0.10957551826258638,0.5956213589188131,0.0552,0.10130000000000002,0.10957551826258642,0.011100000000000006
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_0.0_-70.7107_var.smearCMS.root,4,0.0,-70.7107,1015,99,0.904,0.028814,0.06269990265972783,0.0018066349952373976,10000,0.5501203560497874,0.05365705935855069,0.005392737371095166,0.0002852585999999999,1.788568645285023e-05,0.09753694581280788,0.09753694581280788,0.5946855893085614,0.028814,0.10149999999999997,0.09753694581280788,0.009899999999999997
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_0.0_-700.0_var.smearCMS.root,4,0.0,-700.0,1032,112,0.904,2.5296,0.06269990265972783,0.15860567376804752,10000,49.1043165985875,5.329150638606396,0.5035574031769133,0.028331519999999992,0.0017763835462021318,0.10852713178294573,0.10852713178294573,0.5868500232138822,2.5296,0.10319999999999999,0.10852713178294573,0.011199999999999998
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_0.0_0.0_var.smearCMS.root,4,0.0,0.0,961,107,0.904,0.00012387999999999999,0.06269990265972783,7.767263941487083e-06,10000,0.0022393021943307263,0.00024932917252173535,2.41035608860323e-05,1.3255159999999997e-06,8.310972417391178e-08,0.11134235171696148,0.1113423517169615,0.6004624271166437,0.00012387999999999999,0.0961,0.11134235171696148,0.010699999999999998
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_0.0_100.0_var.smearCMS.root,4,0.0,100.0,972,98,0.904,0.046715,0.06269990265972783,0.0029290259527491856,10000,0.8541039678216624,0.08611336301082605,0.008698763276533416,0.00045780699999999996,2.8704454336942016e-05,0.10082304526748971,0.10082304526748971,0.5963139113440243,0.046715,0.0972,0.10082304526748971,0.0098
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_0.0_70.7107_var.smearCMS.root,4,0.0,70.7107,1001,102,0.904,0.0224317,0.06269990265972783,0.0014064654064922166,10000,0.4223615615696126,0.043037841438661815,0.004261381295551072,0.00022880333999999994,1.4345947146220605e-05,0.10189810189810189,0.1018981018981019,0.5936699738115683,0.0224317,0.10009999999999998,0.10189810189810189,0.010199999999999997
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_0.0_700.0_var.smearCMS.root,4,0.0,700.0,1006,112,0.904,2.4526,0.06269990265972783,0.15377778126324848,10000,46.410134385248384,5.166933450445148,0.48822931966781213,0.027469119999999993,0.0017223111501483827,0.11133200795228629,0.11133200795228629,0.5981172215143519,2.4526,0.10059999999999998,0.11133200795228629,0.011199999999999998
